variable,definition
participant_id,"Participant ID from the participant_id column, manual map, or sub-<id> in the filename."
session,"Session label from the session column, manual map, or ses-<id> in the filename."
file_name,Source CSV filename for this run.
file_path,Full path to the source CSV.
file_md5,MD5 hash of the file; identical hashes flag duplicate runs.
duplicate_file_flag,True if another analyzed file has the same MD5 hash.
duplicate_file_count,Number of analyzed files sharing this MD5 hash.
task_version,TASK_VERSION stamped in the data rows (provenance).
seed,RNG seed for the run; reproduces the bandit schedule.
food_set,"Food category shown this session: sweet, savory, or sweet+savory (between-subjects)."
n_bandit_trials,Bandit rows present in the file.
n_bandit_usable,Bandit trials with a recorded choice and a valid reward/loss outcome.
bandit_missing_choice_prop,Proportion of bandit rows without a usable choice/outcome.
max_swap_count,Highest swap_count reached; equals the number of reversals completed.
overall_optimal_prop,Proportion of usable bandit trials choosing the current highest-probability arm.
overall_reward_rate,Proportion of usable bandit trials that were rewarded.
total_points,Sum of bandit points across usable trials.
mean_regret,Mean of optimal_points minus obtained points across usable trials.
bandit_mean_choice_rt,Mean choice reaction time (s); the primary implicit wanting/vigor signal in the bandit.
bandit_median_choice_rt,Median choice reaction time (s); used as the general-speed covariate for residualized vigor.
bandit_fast_rt_prop,Proportion of choice RTs below 0.15 s.
bandit_very_fast_rt_prop,Proportion of choice RTs below 0.1 s.
late_choice_prop,Proportion of bandit trials where the 4 s 'answer faster' nudge fired (choice_late).
phase_first_optimal_prop,"Optimal-choice accuracy over the first 15 usable trials of each phase, pooled."
phase_last_optimal_prop,"Optimal-choice accuracy over the last 15 usable trials of each phase, pooled."
asymptotic_optimal_prop,Optimal-choice accuracy over the last 15 usable trials of the final phase; basis for the asymptote QC flag.
switch_rate,Proportion of consecutive usable trials with a different position choice (exploration index).
choice_entropy,Normalized Shannon entropy (0-1) of position choices across usable trials.
win_stay_prop,Proportion of rewarded usable trials whose next usable trial repeats the same symbol.
lose_shift_prop,Proportion of non-rewarded usable trials whose next usable trial switches symbol.
n_win_stay_transitions,Rewarded consecutive-trial transitions available for win-stay.
n_lose_shift_transitions,Non-rewarded consecutive-trial transitions available for lose-shift.
rev1_pre_optimal,Optimal-choice accuracy in the 10 trials before reversal 1.
rev1_post_optimal,Optimal-choice accuracy in the 10 trials after reversal 1.
rev1_perseveration,Proportion of post-reversal-1 choices on the position that was optimal just before reversal 1.
rev1_cost,rev1_pre_optimal minus rev1_post_optimal (reversal accuracy drop).
rev2_pre_optimal,Optimal-choice accuracy in the 10 trials before reversal 2.
rev2_post_optimal,Optimal-choice accuracy in the 10 trials after reversal 2.
rev2_perseveration,Proportion of post-reversal-2 choices on the position that was optimal just before reversal 2.
rev2_cost,rev2_pre_optimal minus rev2_post_optimal.
reversal_perseveration_mean,Mean perseveration across both reversals.
reversal_post_optimal_mean,Mean post-reversal optimal-choice accuracy across both reversals.
reversal_cost_mean,Mean pre-reversal accuracy minus mean post-reversal accuracy across both reversals.
n_bonus_trials,Mini-MID probe rows present (expected 30: 16 food + 14 neutral).
n_food_probes,Food-cue probe rows.
n_neutral_probes,Neutral-cue probe rows.
mid_hit_rate_overall,Proportion of probes with a target hit; the staircase targets about 0.667.
mid_hit_rate_food,Hit rate on food-cue probes.
